"filename", "language", "CSV", "Markdown", "JSON", "JSON with Comments", "C++", "C", "comment", "blank", "total"
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/respond_amend_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/respond_provision_and_amend_rundown.cpp", "C++", 0, 0, 0, 0, 142, 0, 26, 31, 199
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/respond_provision_and_amend_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/respond_rundown.cpp", "C++", 0, 0, 0, 0, 142, 0, 26, 31, 199
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/respond_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/respond_with_wifi_intro_rundown.cpp", "C++", 0, 0, 0, 0, 27, 0, 3, 8, 38
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/respond_with_wifi_intro_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/respond_with_wifi_rundown.cpp", "C++", 0, 0, 0, 0, 45, 0, 5, 10, 60
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/respond_with_wifi_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/sad_roller_rundown.cpp", "C++", 0, 0, 0, 0, 28, 0, 2, 8, 38
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/sad_roller_rundown.hpp", "C++", 0, 0, 0, 0, 12, 0, 0, 4, 16
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/time_rundown.cpp", "C++", 0, 0, 0, 0, 16, 0, 1, 6, 23
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/time_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/transport_from_rundown.cpp", "C++", 0, 0, 0, 0, 28, 0, 3, 8, 39
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/transport_from_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/transport_rundown.cpp", "C++", 0, 0, 0, 0, 16, 0, 1, 6, 23
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/transport_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/transport_to_rundown.cpp", "C++", 0, 0, 0, 0, 28, 0, 3, 8, 39
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/transport_to_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/unable_to_send_rundown.cpp", "C++", 0, 0, 0, 0, 28, 0, 1, 8, 37
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/unable_to_send_rundown.hpp", "C++", 0, 0, 0, 0, 12, 0, 0, 4, 16
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/venue_rundown.cpp", "C++", 0, 0, 0, 0, 16, 0, 1, 6, 23
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/venue_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wee_rundown.cpp", "C++", 0, 0, 0, 0, 28, 0, 0, 8, 36
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wee_rundown.hpp", "C++", 0, 0, 0, 0, 12, 0, 0, 4, 16
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wifi_ap_not_found_rundown.cpp", "C++", 0, 0, 0, 0, 16, 0, 0, 6, 22
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wifi_ap_not_found_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wifi_disconnected_rundown.cpp", "C++", 0, 0, 0, 0, 16, 0, 0, 6, 22
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wifi_disconnected_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wifi_login_failure_rundown.cpp", "C++", 0, 0, 0, 0, 16, 0, 0, 6, 22
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wifi_login_failure_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wifi_login_rundown.cpp", "C++", 0, 0, 0, 0, 16, 0, 0, 6, 22
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wifi_login_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wifi_provisioning_rundown.cpp", "C++", 0, 0, 0, 0, 34, 0, 4, 10, 48
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wifi_provisioning_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wifi_rundown.cpp", "C++", 0, 0, 0, 0, 16, 0, 1, 6, 23
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wifi_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/partitions.csv", "CSV", 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/ultimate-invitation-card.code-workspace", "JSON with Comments", 0, 0, 0, 42, 0, 0, 0, 0, 42
"Total", "-", 146, 219, 1, 42, 6273, 652, 549, 1568, 9450
